Name,Author,Year,Genre
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,2014,Non Fiction
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,2015,Non Fiction
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,2016,Non Fiction
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,2018,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,2013,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,2014,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,2015,Non Fiction
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,2018,Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,2013,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,2014,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,2015,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,2016,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,2017,Non Fiction
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,2013,Non Fiction
Leonardo da Vinci,Walter Isaacson,2017,Non Fiction
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,2018,Non Fiction
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,2009,Non Fiction
Life,Keith Richards,2010,Non Fiction
Little Bee: A Novel,Chris Cleave,2010,Fiction
Little Blue Truck,Alice Schertle,2014,Fiction
Little Fires Everywhere,Celeste Ng,2018,Fiction
Looking for Alaska,John Green,2014,Fiction
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,2011,Non Fiction
Love You Forever,Robert Munsch,2014,Fiction
Love You Forever,Robert Munsch,2015,Fiction
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,2018,Non Fiction
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,2014,Non Fiction
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,2017,Non Fiction
"Mastering the Art of French Cooking, Vol. 2",Julia Child,2009,Non Fiction
Milk and Honey,Rupi Kaur,2016,Non Fiction
Milk and Honey,Rupi Kaur,2017,Non Fiction
Milk and Honey,Rupi Kaur,2018,Non Fiction
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,2017,Non Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,2014,Non Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,2015,Non Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,2016,Non Fiction
Mockingjay (The Hunger Games),Suzanne Collins,2010,Fiction
Mockingjay (The Hunger Games),Suzanne Collins,2011,Fiction
Mockingjay (The Hunger Games),Suzanne Collins,2012,Fiction
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,2019,Non Fiction
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,2019,Non Fiction
New Moon (The Twilight Saga),Stephenie Meyer,2009,Fiction
Night (Night),Elie Wiesel,2016,Non Fiction
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,2012,Non Fiction
Obama: An Intimate Portrait,Pete Souza,2017,Non Fiction
"Oh, the Places You'll Go!",Dr. Seuss,2012,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,2013,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,2014,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,2015,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,2016,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,2017,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,2018,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,2019,Fiction
